hshd_id,shabit,net_spend_amt,prod_desc,year,month,day
3465209031,Premium Loyal,8.99,AG ED INV CARD,2017,5,20
3747202391,Premium Loyal,4.99,AG-BLANK NOTES,2017,3,20
5177800087,Valuable,2,HMK CARD ADMIN,2017,4,14
5177800087,Valuable,2,HMK CARD ADMIN,2017,4,14
3589079413,Potential,2,HMK CARD ADMIN,2017,4,22
3484634557,Potential,3.99,HMK CARD ADMIN,2017,4,26
3411332823,Premium Loyal,3.49,HMK CARD ADMIN,2017,4,19
3832185751,Uncommitted,14.99,HMK PLUSH LAMB,2017,4,15
4999645337,Premium Loyal,0.99,STADIUM CUP LC,2017,5,31
3519349591,Premium Loyal,5.59,STO CANOLA OIL,2017,3,2
3479082131,Premium Loyal,3.49,A G BANNER 2.59,2017,3,6
3473511659,Valuable,8.99,AG  MOTHERS DAY,2017,5,11
3467724123,Valuable,8.99,AG  MOTHERS DAY,2017,5,12
3479099907,Premium Loyal,8.99,AG  MOTHERS DAY,2017,5,13
3575589649,Premium Loyal,8.99,AG  MOTHERS DAY,2017,5,13
3577040951,Premium Loyal,8.99,AG  MOTHERS DAY,2017,5,13
3465971371,Premium Loyal,5.99,AG MOM DAY CARD,2017,5,10
3604180445,Premium Loyal,5.99,AG MOM DAY CARD,2017,5,11
3470794787,Premium Loyal,5.99,AG MOM DAY CARD,2017,5,13
3474081369,Valuable,4.24,AM GR EVDY CARD,2017,5,23
5003500873,Potential,4.69,AM GR EVDY CARD,2017,5,17
3637454117,Uncommitted,15,BULK BLANK NOTE,2017,4,27
3477340463,Potential,4.99,EASTER JUVENILE,2017,4,5
3435490921,Potential,3.99,HMK CARD COMMUN,2017,4,30
3791586691,Valuable,2,HMK CARD EASTER,2017,3,25
3774395605,Valuable,2,HMK CARD EASTER,2017,3,26
8614328969,Premium Loyal,2,HMK CARD EASTER,2017,4,12
8614328969,Premium Loyal,2,HMK CARD EASTER,2017,4,12
8614328969,Premium Loyal,3.99,HMK CARD EASTER,2017,4,12
3605075165,Premium Loyal,0.99,HMK CARD EASTER,2017,3,21
3605075165,Premium Loyal,0.99,HMK CARD EASTER,2017,3,21
6246277509,Potential,2,HMK CARD EASTER,2017,3,14
3799519479,Valuable,4.59,HMK CARD EASTER,2017,4,16
